index,area,pop,sex,x_LDI_id_Updated_7July2011,x_ihme_health_system_access_19jul2011,year
411,MDA,2019.09016651,female,-0.448965792494,2.008594,2005.0
412,MDA,1711.23902746,male,,2.008594,2010.0
413,MDA,1898.79593633,female,,2.008594,2010.0
414,RUS,69399.3752568,male,0.115790867369,2.008594,1990.0
415,RUS,79392.2854951,female,0.115790867369,2.008594,1990.0
416,RUS,67247.029868,male,-0.0321413227478,2.008594,2005.0
417,RUS,78266.3536507,female,-0.0321413227478,2.008594,2005.0
418,RUS,65825.8614538,male,,2.008594,2010.0
419,RUS,76690.6964563,female,,2.008594,2010.0
420,UKR,23984.918019,male,-0.140237582982,2.008594,1990.0
421,UKR,28102.193965,female,-0.140237582982,2.008594,1990.0
422,UKR,21993.1271681,male,-0.306863868507,2.008594,2005.0
423,UKR,25795.6663471,female,-0.306863868507,2.008594,2005.0
424,UKR,21182.1813307,male,,2.008594,2010.0
425,UKR,24788.2612894,female,,2.008594,2010.0
426,AND,25.7479533937,male,1.58691133158,2.008594,1990.0
427,AND,27.1568666389,female,1.58691133158,2.008594,1990.0
428,AND,37.1415725012,male,2.04226715812,2.008594,2005.0
429,AND,38.639010354,female,2.04226715812,2.008594,2005.0
430,AND,41.3729616343,male,,2.008594,2010.0
431,AND,42.7314443346,female,,2.008594,2010.0
432,AUT,3705.20639622,male,0.729356870508,2.008594,1990.0
433,AUT,4046.6537823,female,0.729356870508,2.008594,1990.0
434,AUT,4040.861993,male,1.15823319242,2.008594,2005.0
435,AUT,4251.61410818,female,1.15823319242,2.008594,2005.0
436,AUT,4097.70721375,male,,2.008594,2010.0
437,AUT,4276.24789516,female,,2.008594,2010.0
438,BEL,4904.69286856,male,0.65804332937,2.008594,1990.0
439,BEL,5129.93760472,female,0.65804332937,2.008594,1990.0
440,BEL,5188.36759063,male,1.06972768752,2.008594,2005.0
441,BEL,5397.82488292,female,1.06972768752,2.008594,2005.0
442,BEL,5348.1307394,male,,2.008594,2010.0
443,BEL,5532.9290129,female,,2.008594,2010.0
444,CHE,3307.69231579,male,1.09423420741,2.008594,1990.0
445,CHE,3463.23017491,female,1.09423420741,2.008594,1990.0
446,CHE,3669.88276625,male,1.28525273264,2.008594,2005.0
447,CHE,3813.97553098,female,1.28525273264,2.008594,2005.0
448,CHE,3761.89563942,male,,2.008594,2010.0
449,CHE,3874.17344211,female,,2.008594,2010.0
450,CYP,319.574293473,male,0.200438310632,2.008594,1990.0
451,CYP,327.552320788,female,0.200438310632,2.008594,1990.0
452,CYP,366.602591298,male,0.567581485001,2.008594,2005.0
453,CYP,377.318435428,female,0.567581485001,2.008594,2005.0
